catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0092,R/P1M,cantidad_por_miles_quesos_mediana_humedad3,Litros,cantidad_por_miles_quesos_mediana_humedad3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,152424.95,137056.0,0.1121362800607053,False,771,10,24,40
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0093,R/P1M,cantidad_por_miles_quesos_alta_humedad3,Litros,cantidad_por_miles_quesos_alta_humedad3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,42777.73,41611.94,0.028015757015894982,False,778,8,19,33
agroindustria,ad9e97d9-a427-4bea-af07-d0217b60eff4,6e79add0-52d6-4eaf-b715-4636259f3aed,AGRO_0094,R/P1M,cantidad_por_miles_otros_prod3,Litros,cantidad_por_miles_otros_prod3,Serie de tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/ad9e97d9-a427-4bea-af07-d0217b60eff4/resource/6e79add0-52d6-4eaf-b715-4636259f3aed/download/serie-tiempo-existencias-lacteas-litros-equivalentes.csv,Lácteos - Existencias en litros equivalentes,,Lácteos - Existencias en litros equivalentes,Existencias lácteas desagregadas por mes y producto expresadas en litros equivalentes.,,2016-01-01,2016-08-01,8,3183,False,64121.15,57564.42,0.11390247656451691,False,796,10,20,29
"agroindustria,ae22dbcb-9e30-434f-b9c3-bf4c021320e2,ff0bf38f-a245-4173-882a-4ef3d61a06bc,AGRO_0107,R/P1M,ingreso_avena_industria,toneladas,Ingreso avena para su industrialización,Serie de tiempo,Subsecretaría de Mercados Agropecuarios,https://datos.magyp.gob.ar/dataset/ae22dbcb-9e30-434f-b9c3-bf4c021320e2/resource/ff0bf38f-a245-4173-882a-4ef3d61a06bc/download/serie-de-tiempo-avena.csv,Avena - Destino industrial,,Avena - Destino industrial,""Ingreso a planta de granos de avena con destino a la industria."
"Año comercial desde Diciembre a Noviembre."",,1955-01-01,2018-09-01,765,2423,False,1110,2140,-0.48130841121495327,False,810,10,26,65"
"agroindustria,b3819c0c-ce32-4c2b-884e-984d3e10bdc0,d0c0c90d-cdcf-479b-ae18-295a809e2bbf,AGRO_0341,R/P1M,cania_azucar,Metros Cúbicos,Ventas internas de bioetanol de caña de azúcar como insumo,Serie de tiempo de ventas internas de bioetanol por tipo de insumo,Dirección de Bioenergía - Secretaría de Alimentos y Bioeconomía,https://datos.magyp.gob.ar/dataset/b3819c0c-ce32-4c2b-884e-984d3e10bdc0/resource/d0c0c90d-cdcf-479b-ae18-295a809e2bbf/download/serie-tiempo-ventas-internas-bioetanol-por-insumo.csv,Biocombustible - Ventas internas de bioetanol por tipo de insumo,,Biocombustible - Ventas internas de bioetanol por tipo de insumo,""Ventas internas (reales y estimadas) de bioetanol producido a partir de caña de azúcar y maíz. Las mismas se destinan para la mezcla con nafta, según lo establecido en el marco de la Ley de biocombustibles."",,2017-01-01,2019-03-01,27,2241,False,42741,42525,0.005079365079365017,False,848,19,52,82"
"agroindustria,b3819c0c-ce32-4c2b-884e-984d3e10bdc0,d0c0c90d-cdcf-479b-ae18-295a809e2bbf,AGRO_0342,R/P1M,maiz,Metros Cúbicos,Ventas internas de bioetanol de maíz como insumo,Serie de tiempo de ventas internas de bioetanol por tipo de insumo,Dirección de Bioenergía - Secretaría de Alimentos y Bioeconomía,https://datos.magyp.gob.ar/dataset/b3819c0c-ce32-4c2b-884e-984d3e10bdc0/resource/d0c0c90d-cdcf-479b-ae18-295a809e2bbf/download/serie-tiempo-ventas-internas-bioetanol-por-insumo.csv,Biocombustible - Ventas internas de bioetanol por tipo de insumo,,Biocombustible - Ventas internas de bioetanol por tipo de insumo,""Ventas internas (reales y estimadas) de bioetanol producido a partir de caña de azúcar y maíz. Las mismas se destinan para la mezcla con nafta, según lo establecido en el marco de la Ley de biocombustibles."",,2017-01-01,2019-03-01,27,2241,False,46077,43739,0.05345343972198724,False,883,20,58,96"
"agroindustria,bb67aa17-c522-4ce3-ae79-c8fad2da2218,1ec33f3e-86b6-4802-a87d-91af91e26bb5,AGRO_0025,R/P1M,ingreso_cebada_industria,toneladas,Cantidad de granos de cebada con ingreso a planta para su industrialización,Serie de tiempo,Subsecretaría de Mercados Agropecuarios,https://datos.magyp.gob.ar/dataset/bb67aa17-c522-4ce3-ae79-c8fad2da2218/resource/1ec33f3e-86b6-4802-a87d-91af91e26bb5/download/serie-de-tiempo-cebada-a-industria.csv,Cebada - Destino industrial,,Cebada - Destino industrial,""Ingreso a planta de granos de cebada con destino a la industria."
"Año comercial desde Diciembre a Noviembre."",,1950-01-01,2018-09-01,825,2331,False,70485.0,62810.0,0.12219391816589709,False,1017,7,21,50"
"agroindustria,bec553ed-dda5-4107-b14d-417d3c97207a,f7c928d6-2cb0-4426-acf2-a11c242c813a,AGRO_0046,R/P1M,leche_cruda_destinada_a_leche_fluida,megalitro,Leche cruda destinada a leche fluida,Serie de Tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/bec553ed-dda5-4107-b14d-417d3c97207a/resource/f7c928d6-2cb0-4426-acf2-a11c242c813a/download/serie_tiempo-destino-de-produccion-de-la-leche-1983-2016.csv,Lácteos - Destino de producción de leche,,Lácteos - Destino de producción de leche,""Destino de la leche cruda a producto se presenta con distinto nivel de apertura para los siguientes periodos: de 1983 a 1988 el mínimo nivel de apertura (a leche fluida, informal y productos), de 1989 y 2007 mayor nivel de apertura (pero sin distinguir entre descremada, semi descremada y entera para las leches fluidas) y de 2008 a la actualidad con máximo nivel de apertura."",,1983-01-01,1988-12-01,72,3061,False,96.0,94.0,0.02127659574468077,False,1298,26,64,117"
"agroindustria,bec553ed-dda5-4107-b14d-417d3c97207a,f7c928d6-2cb0-4426-acf2-a11c242c813a,AGRO_0047,R/P1M,leche_cruda_destinada_a_leche_informal,megalitro,Leche cruda destinada a leche informal,Serie de Tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/bec553ed-dda5-4107-b14d-417d3c97207a/resource/f7c928d6-2cb0-4426-acf2-a11c242c813a/download/serie_tiempo-destino-de-produccion-de-la-leche-1983-2016.csv,Lácteos - Destino de producción de leche,,Lácteos - Destino de producción de leche,""Destino de la leche cruda a producto se presenta con distinto nivel de apertura para los siguientes periodos: de 1983 a 1988 el mínimo nivel de apertura (a leche fluida, informal y productos), de 1989 y 2007 mayor nivel de apertura (pero sin distinguir entre descremada, semi descremada y entera para las leches fluidas) y de 2008 a la actualidad con máximo nivel de apertura."",,1983-01-01,2016-12-01,408,3061,False,51.01,58.29,-0.12489277749185113,False,1399,23,59,103"
"agroindustria,bec553ed-dda5-4107-b14d-417d3c97207a,f7c928d6-2cb0-4426-acf2-a11c242c813a,AGRO_0048,R/P1M,leche_cruda_destinada_a_productos,megalitro,Leche cruda destinada a productos lácteos,Serie de Tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/bec553ed-dda5-4107-b14d-417d3c97207a/resource/f7c928d6-2cb0-4426-acf2-a11c242c813a/download/serie_tiempo-destino-de-produccion-de-la-leche-1983-2016.csv,Lácteos - Destino de producción de leche,,Lácteos - Destino de producción de leche,""Destino de la leche cruda a producto se presenta con distinto nivel de apertura para los siguientes periodos: de 1983 a 1988 el mínimo nivel de apertura (a leche fluida, informal y productos), de 1989 y 2007 mayor nivel de apertura (pero sin distinguir entre descremada, semi descremada y entera para las leches fluidas) y de 2008 a la actualidad con máximo nivel de apertura."",,1983-01-01,1988-12-01,72,3061,False,484.9,442.9,0.09482953262587501,False,1616,23,64,121"
"agroindustria,bec553ed-dda5-4107-b14d-417d3c97207a,f7c928d6-2cb0-4426-acf2-a11c242c813a,AGRO_0049,R/P1M,leche_cruda_destinada_a_dulce_de_leche,megalitro,Leche cruda destinada a dulce de leche,Serie de Tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/bec553ed-dda5-4107-b14d-417d3c97207a/resource/f7c928d6-2cb0-4426-acf2-a11c242c813a/download/serie_tiempo-destino-de-produccion-de-la-leche-1983-2016.csv,Lácteos - Destino de producción de leche,,Lácteos - Destino de producción de leche,""Destino de la leche cruda a producto se presenta con distinto nivel de apertura para los siguientes periodos: de 1983 a 1988 el mínimo nivel de apertura (a leche fluida, informal y productos), de 1989 y 2007 mayor nivel de apertura (pero sin distinguir entre descremada, semi descremada y entera para las leches fluidas) y de 2008 a la actualidad con máximo nivel de apertura."",,1989-01-01,2016-12-01,336,3061,False,18.29,14.92,0.22587131367292224,False,949,18,44,77"
"agroindustria,bec553ed-dda5-4107-b14d-417d3c97207a,f7c928d6-2cb0-4426-acf2-a11c242c813a,AGRO_0050,R/P1M,leche_cruda_destinada_a_leche_chocolatada,megalitro,Leche cruda destinada a leche chocolatada,Serie de Tiempo,Dirección Nacional Láctea,https://datos.magyp.gob.ar/dataset/bec553ed-dda5-4107-b14d-417d3c97207a/resource/f7c928d6-2cb0-4426-acf2-a11c242c813a/download/serie_tiempo-destino-de-produccion-de-la-leche-1983-2016.csv,Lácteos - Destino de producción de leche,,Lácteos - Destino de producción de leche,""Destino de la leche cruda a producto se presenta con distinto nivel de apertura para los siguientes periodos: de 1983 a 1988 el mínimo nivel de apertura (a leche fluida, informal y productos), de 1989 y 2007 mayor nivel de apertura (pero sin distinguir entre descremada, semi descremada y entera para las leches fluidas) y de 2008 a la actualidad con máximo nivel de apertura."",,1989-01-01,2016-12-01,336,3061,False,8.05,7.49,0.07476635514018692,False,1264,26,66,115"
