catalogo_id,dataset_id,distribucion_id,serie_id,indice_tiempo_frecuencia,serie_titulo,serie_unidades,serie_descripcion,distribucion_titulo,distribucion_descripcion,distribucion_url_descarga,dataset_responsable,dataset_fuente,dataset_titulo,dataset_descripcion,dataset_tema,serie_indice_inicio,serie_indice_final,serie_valores_cant,serie_dias_no_cubiertos,serie_actualizada,serie_valor_ultimo,serie_valor_anterior,serie_var_pct_anterior,serie_discontinuada,consultas_total,consultas_30_dias,consultas_90_dias,consultas_180_dias
"bcra,2,2.3,bcra_350,R/P1D,bcra_350,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Créditos documentarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,11,0,1,1"
"bcra,2,2.3,bcra_351,R/P1D,bcra_351,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Otros préstamos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,43379645.0,43278865.8,0.002328600764764044,False,37,0,1,1"
"bcra,2,2.3,bcra_355,R/P1D,bcra_355,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Intereses documentados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_357,R/P1D,bcra_357,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Total"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,42488000.0,42495000.0,-0.00016472526179545088,False,1,0,0,0"
"bcra,2,2.3,bcra_358,R/P1D,bcra_358,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Adelantos en cuenta corriente"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,474000.0,478000.0,-0.008368200836820106,False,3,0,0,2"
"bcra,2,2.3,bcra_359,R/P1D,bcra_359,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Otros adelantos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,18000.0,18000.0,0.0,False,1,0,0,0"
"bcra,2,2.3,bcra_360,R/P1D,bcra_360,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Documentos a sola firma"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,10461000.0,10462000.0,-9.558401835207953e-05,False,2,0,0,0"
"bcra,2,2.3,bcra_361,R/P1D,bcra_361,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Documentos descontados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,426000.0,426000.0,0.0,False,1,0,0,0"
"bcra,2,2.3,bcra_362,R/P1D,bcra_362,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Documentos comprados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,71,0,1,1"
"bcra,2,2.3,bcra_363,R/P1D,bcra_363,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Hipotecarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,1000.0,1000.0,0.0,False,53,0,1,1"
"bcra,2,2.3,bcra_364,R/P1D,bcra_364,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Prendarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_365,R/P1D,bcra_365,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Personales"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,143,0,1,1"
"bcra,2,2.3,bcra_366,R/P1D,bcra_366,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - A titulares de tarjetas de crédito"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.3,bcra_367,R/P1D,bcra_367,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Créditos documentarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_368,R/P1D,bcra_368,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Otros préstamos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,31107000.0,31110000.0,-9.643201542908209e-05,False,1,0,0,0"
"bcra,2,2.3,bcra_372,R/P1D,bcra_372,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda nacional, saldos diarios, en miles de pesos - Intereses documentados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_374,R/P1D,bcra_374,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Total"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,135000.0,135000.0,0.0,False,59,0,0,0"
"bcra,2,2.3,bcra_375,R/P1D,bcra_375,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Adelantos en cuenta corriente"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,1"
"bcra,2,2.3,bcra_376,R/P1D,bcra_376,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Otros adelantos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.3,bcra_377,R/P1D,bcra_377,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Documentos a sola firma"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,8000.0,8000.0,0.0,False,2,0,0,0"
"bcra,2,2.3,bcra_378,R/P1D,bcra_378,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Documentos descontados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.3,bcra_379,R/P1D,bcra_379,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Documentos comprados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,18,0,0,0"
"bcra,2,2.3,bcra_380,R/P1D,bcra_380,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Hipotecarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,4,0,0,0"
"bcra,2,2.3,bcra_381,R/P1D,bcra_381,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Prendarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_382,R/P1D,bcra_382,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Personales"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.3,bcra_383,R/P1D,bcra_383,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - A titulares de tarjetas de crédito"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,2,0,0,0"
"bcra,2,2.3,bcra_384,R/P1D,bcra_384,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Créditos documentarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,1,0,0,0"
"bcra,2,2.3,bcra_385,R/P1D,bcra_385,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Otros préstamos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,127000.0,126000.0,0.007936507936507908,False,2,0,0,0"
"bcra,2,2.3,bcra_389,R/P1D,bcra_389,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector público - En moneda extranjera, saldos diarios, en miles de dólares estadounidenses - Intereses documentados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,0.0,0.0,nan,False,23,0,0,0"
"bcra,2,2.3,bcra_392,R/P1D,bcra_392,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Total"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,3697530250.0,3684984013.5,0.0034046922467063645,False,1,0,0,0"
"bcra,2,2.3,bcra_393,R/P1D,bcra_393,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Adelantos en cuenta corriente"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,267615000.0,267950000.0,-0.0012502332524724213,False,3,0,0,2"
"bcra,2,2.3,bcra_394,R/P1D,bcra_394,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Otros adelantos"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,67822515.0,67941047.0,-0.0017446301644423734,False,1,0,0,0"
"bcra,2,2.3,bcra_395,R/P1D,bcra_395,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Documentos a sola firma"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,830087415.0,828813997.5,0.0015364333901708438,False,33,0,0,1"
"bcra,2,2.3,bcra_396,R/P1D,bcra_396,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Documentos descontados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,182560000.0,181436000.0,0.006195021936109768,False,2,0,0,0"
"bcra,2,2.3,bcra_397,R/P1D,bcra_397,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Documentos comprados"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1999-12-30,2021-07-28,7882,5,True,55410000.0,55600000.0,-0.003417266187050405,False,2,0,0,0"
"bcra,2,2.3,bcra_398,R/P1D,bcra_398,Miles de pesos corrientes,""Balance consolidado de las entidades financieras, en miles de pesos - Préstamos al sector privado - En monedas nacional y extranjera, saldos diarios, en miles de pesos - Hipotecarios"",""Principales activos de las entidades financieras (disponibilidades, tenencias de títulos públicos y préstamos)"",Ministerio de Hacienda. Subsecretaría de Programación Macroeconómica.,,Dinero y crédito (saldos),Banco Central de la República Argentina (BCRA),Dinero y crédito (saldos),""Balances y saldos de entidades del sistema financiero, préstamos, depósitos y otros."",Dinero y Bancos,1996-04-01,2021-07-28,9250,5,True,267283545.0,266913406.1,0.0013867377641620937,False,4,0,0,0"
